id,detected_ent,no_detections,no_db_keywords,number_of_missed_detections,alias1,alias2,alias3,alias4,alias5,alias6,címkézési szabály
2281,Duna Parti Zöld Fiatalok Egyesülete,0,1,1,,,,,,,
2282,Ifjúsági Információs Alapítvány,0,1,1,,,,,,,
2283,Biztos Támasz Egyesület,0,1,1,,,,,,,
2284,Danubia Magyar Katolikus Diákegyesület,0,1,1,,,,,,,
2292,Ricoh Hungary Kft.,0,1,1,,,,,,,
2296,Colorspectrum Kft.,0,1,1,,,,,,,
2297,Euro-profil Kft.,0,1,1,,,,,,,
2298,Infocopy Kft.,0,1,1,,,,,,,
2299,Danka Magyarország Kft.,0,1,1,,,,,,,
2302,Xcopy Kft.,0,1,1,,,,,,,
2307,Tatai Honvéd Atlétikai Club,0,5,5,,,,,,,
2316,Power Investments International II. S.Á.R.L.,1,13,12,,,,,,,
2321,OPRE Média Szolgáltató Bt.,0,1,1,,,,,,,
2331,Zsolnay Zrt.,7,100,93,Zsolnay Porcelánmanufaktúra,,,,,,
2332,Hungarian Busz Zrt.,0,2,2,,,,,,,
2344,MÁV Start Zrt.,4,27,23,,,,,,,
2360,King's City,21,140,119,,,,,,,
2361,Meinl Bank,34,16,-18,,,,,,,
2366,Magyar Igazságért a Jobb Magyarországért Alapítvány,0,1,1,,,,,,,
2370,Magyar Lóversenyfogadást-Szervező Kft.,0,11,11,,,,,,,
2377,Konsept-H Könyvkiadó Kft.,0,1,1,,,,,,,
2378,School Kiadó Bt.,0,1,1,,,,,,,
2382,EMFESZ Kft.,12,64,52,,,,,,,
2390,Mavir Zrt.,4,24,20,,,,,,,
2397,HSBC,25,5,-20,,,,,,,
2412,Med 21Kft.,0,6,6,,,,,,,
2416,Alba-Kenyér Zrt.,0,1,1,,,,,,,
2418,Ceres Zrt.,0,1,1,,,,,,,
2419,Delta Pékség Kft.,0,1,1,,,,,,,
2420,Európa Pék Kft.,0,1,1,,,,,,,
2421,Ferrosüt Kft.,0,1,1,,,,,,,
2423,Karamell-Ingatlan Zrt.,0,1,1,,,,,,,
2430,Pécs-Pogányi Repülőteret Működtető Kft.,0,5,5,,,,,,,
2431,Fexton Kft.,0,1,1,,,,,,,
2435,British Aerospace,23,2,-21,,,,,,,
2445,Pécsi Közlekedési Zrt.,22,35,13,,,,,,,
2448,Gazprom,118,20,-98,,,,,,,
2453,OMV,78,14,-64,,,,,,,
2457,Lánchíd Rádió,123,44,-79,,,,,,,
2464,Szent István Egyetem,45,12,-33,,,,,,,
2469,EIB,22,1,-21,,,,,,,
2480,Reneszánsz Kastélyszálló Kft.,0,1,1,,,,,,,
2491,Dél-Dunántúli Borkultúráért Kft.,0,1,1,,,,,,,
2503,Matáv,37,3,-34,,,,,,,
2519,Gyógyír XI. Kht.,0,1,1,,,,,,,
2530,DBR Metro,15,40,25,,,,,,,
2539,Mortimer Hungária Kft.,0,1,1,,,,,,,
2551,Szociális és Munkaügyi Minisztérium,30,13,-17,,,,,,,
2559,Pál és Kozma ügyvédi iroda,0,1,1,,,,,,,
2561,Prestige Média Kft.,11,26,15,,,,,,,
2563,FM1 Konzorcium,10,40,30,,,,,,,
2568,Duna Aszfalt Zrt.,32,305,273,,,,,,,
2587,IVG Kft.,0,2,2,,,,,,,
